Item_Identifier,Item_Outlet_Sales
FDW58,1810.039152500868
FDY38,5199.3502748558585
FDH56,1909.431131212617
FDL48,459.6537941812362
FDC48,2746.7525683122394
NCC54,1994.8332970261572
FDU11,2121.7599917264747
DRL59,783.7483389978554
FDM24,2563.1550547316074
DRC12,2760.2307437824734
NCM42,3170.0338905174003
FDA31,2892.2290187479016
NCJ31,3932.0664449901037
FDG52,694.0741593062971
NCL19,365.2501492311799
FDS10,3054.515405123386
NCF19,834.0387856749312
NCE06,2579.438059281039
DRC27,3939.14466750111
FDE21,2042.3448981771267
NCR42,-1462.1134258456225
FDX51,2936.369047040702
NCR06,339.0947404183876
FDU31,5021.9889579555565
FDR03,4823.979373965956
FDS49,2708.8562289422466
NCD43,3070.0687425954484
NCD54,1966.5609034576923
NCL19,2010.6577547859074
FDC26,1809.5362396622863
NCS41,3119.2914726052545
FDF41,4132.770132628093
FDU34,1980.9663441230223
DRH11,861.9330428445317
FDM03,1744.651479094448
FDV44,4537.794680137142
FDG02,3188.2955052093844
FDA09,2957.5216190431047
FDT04,543.2850222214771
FDL58,2378.9762471921517
FDW12,2501.3503909294477
NCY42,3697.00578283599
FDB35,2868.3313192218316
NCL06,4222.9662531523045
FDI35,2954.116947289441
NCX06,2966.436047832756
FDC37,3189.311354715839
FDZ14,1666.5385834514218
DRG49,4040.184512300419
FDV21,40.13417460943248
FDB53,2340.1419613840862
DRP47,2118.9136496918604
FDA14,2313.0470032195312
DRC24,2532.246365761047
FDW21,1372.087034658477
NCH29,1592.6729353743804
FDU58,3122.5808633155184
FDV56,1908.9994612032492
FDT59,3800.0311319186508
FDB23,3644.4342071285087
FDX02,5037.731529851044
FDQ16,3149.5889421295865
FDU35,1366.6863592462414
NCT29,1996.0273458702136
FDZ27,729.1599255185993
FDA03,2010.1145750596188
NCU05,1324.1195036262923
FDT39,2229.201298790027
FDG12,1999.5056143738148
DRB01,1122.504146199171
NCC43,5476.057112045211
FDX13,2147.4519035441344
FDM22,918.0844816813881
FDJ03,2153.704819635194
FDU14,3749.217108438242
FDP27,3118.3796471903656
FDE28,5170.915122568376
FDO27,1674.1000039995447
DRL23,3131.976512823046
FDS28,846.4199354765842
FDX24,1534.5490109164543
FDZ02,1663.6352678853777
FDS60,4354.77313587631
FDO16,1495.5439168272633
FDC60,1492.8905918366802
FDA48,3286.738584250177
FDZ36,4490.3060189956705
FDW23,326.1146014824576
FDM14,1489.7736173952198
FDM14,1767.1949645526042
FDW60,2642.7004305123546
FDE21,1932.001311375086
NCM42,1882.4796224904771
DRI49,1271.7080619516819
FDT28,506.8576035531811
FDQ22,314.47201278005264
FDR60,1274.1059266746872
FDC50,-447.1170048475864
FDV24,2494.3340633811213
FDQ47,573.4236724729403
DRN36,1574.7040283753404
NCY06,2154.4685335646814
FDE52,1540.4939090695718
NCF31,2577.0242554256024
FDJ08,4533.903386233929
NCD19,2251.388658794597
FDL46,1997.0402554228995
DRM11,4345.006556021979
NCH07,2224.876075512939
FDS23,2158.2459890426985
FDO49,668.2185506748854
FDS35,1156.97202215368
DRI39,946.6739001537455
NCN14,3014.7839884765676
FDH08,3846.9740589018716
FDS20,3005.511560167946
FDV40,1254.2143018824759
FDS24,2837.5499750845065
FDK44,2908.9837098402973
FDH08,3500.193515509414
FDS12,3464.6812237985428
FDR39,4397.078005759953
FDP12,1999.8384138441406
DRF60,5233.356549266628
FDC09,1804.3256282056523
FDF50,2948.580782191262
FDG28,4098.917906850151
NCN18,1862.7122223455376
FDF32,3380.9144117816627
FDF11,3935.6360631331195
DRI59,3734.3868739499417
NCG54,2835.9134968132353
FDM44,1651.2113192519096
FDT57,3570.886101419771
FDV24,2453.6312563774563
FDI50,1812.6460620686344
FDS09,938.2539119447879
NCC31,3914.277547139763
FDQ07,1663.7017598383313
FDZ56,2760.763993643435
FDZ40,-1087.1837665704693
FDS46,3351.591412120313
FDA56,1750.2386209477672
FDN27,1899.661242263826
FDM20,4127.56880667648
FDL03,3329.2098364680664
FDE58,1857.2159290846257
FDI02,3222.074466877352
NCC55,-1367.122106904622
FDR03,3096.4908862676066
FDR45,3967.8434237293545
FDM51,-223.9588132477543
FDT52,5410.5848452863065
FDL26,2461.839174041906
NCZ42,3868.1328310458107
DRI47,423.0474785014741
FDW40,2255.0658599854605
FDN34,2745.6487601173712
FDS01,3043.81360823385
FDC11,1458.778002674887
FDX35,3466.34979991074
